Apps package name,Review,Polarity
243,Norton Genie,app download exactly state description keep also turn people gut tell trust someone began talking take screenshot share norton geniehe pour suspicious message scam filter parameter follow doeshe ask question tell filter indicated warn scam genie know tactic scam procedure,-0.8591
244,Norton Genie,mine number rest life,0.0772
245,Norton Genie,app really helpful think im pretty good spotting scam spam intuition seems agreeing norton genie two thought likely genuine genie said block report closer inspection spotted fault ad email txt message great big five star,0.5984
246,Norton Genie,s love,0.6369
247,Norton Genie,excellent resource help protect oneself,0.8402
248,Norton Genie,pretty good,0.7269
249,Norton Genie,red_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heartanatomical_heart,0.0
250,Norton Genie,touch finger,0.0
251,Norton Genie,far pretty cool well see week two thats usually start cool,0.836
252,Norton Genie,scam,-0.5719
253,Norton Genie,love much sweetheart smiling_face_with_heartsface_blowing_a_kissface_blowing_a_kissface_blowing_a_kissblue_heartred_heartblue_heartblue_heartblue_heartblack_hearthundred_pointsblue_heartanchor,0.8591
254,Norton Genie,unwanted apps installed without permission please stop,-0.2439
255,Norton Genie,sort helpful dont know work,0.4215
256,Norton Genie,got hacked using service guess money got pointless pay didnt work maybe guy look asked app collaboration feature would collaborate something tell app need looked hard dont want money back,-0.575
257,Norton Genie,super cool spot,0.7351
258,Norton Genie,wish read batter,0.4019
259,Norton Genie,always good app let know email scam second,-0.2023
260,Norton Genie,good quick thumbs_up,0.4404
261,Norton Genie,nothing help almost like ascam,-0.4856
262,Norton Genie,installed app tried get scam scan device see file apps exhibit anything would trigger scan notifican app scan element sample scan shouldve gone deeper dont think anything either thanks listening endofline thanks sincerely prospective costomer got message response came read nothing still change,0.6369
263,Norton Genie,fast efficient grateful help thats sure would recommend app family friend future past norton,0.9382
264,Norton Genie,re baby ⁸yiro bye ur vizadred edades bay wayhiajiwahtschi78,0.0
265,Norton Genie,hope app help catch local bicker hacker hurting life really bad live huachuca city arizona,-0.2247
266,Norton Genie,accurate information scam give peace mind recommend norton genie family friend every person free use easy use,0.8934
267,Norton Genie,zaid milke,0.0
268,Norton Genie,workenj please,0.3182
269,Norton Genie,mast h aap sab bhi download kre,0.0
270,Norton Genie,amazing app recommend friend family download,0.8591
271,Norton Genie,seeyouindreams,0.0
